condition,model,dataset,split,prompt_format,input_type,target_modality,order,seed,n,correct,misled,neither,p_valid,selectivity,bert_gpt_agreement,n_parse_errors
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1997,3,0,1.0,0.997,0.9865,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1909,71,20,0.99,0.928283,0.958,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_document,inconsistent,image,ciq,42,2000,1982,16,2,0.999,0.983984,0.987,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_document,inconsistent,image,icq,42,2000,1321,670,9,0.9955,0.326971,0.9755,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_text,inconsistent,image,ciq,42,2000,1997,2,1,0.9995,0.997999,0.987,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_text,inconsistent,image,icq,42,2000,1911,69,20,0.99,0.930303,0.958,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,text,ciq,42,2000,812,1129,59,0.9705,-0.163318,0.898,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,text,icq,42,2000,872,1027,101,0.9495,-0.081622,0.695,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_document,inconsistent,text,ciq,42,2000,776,984,240,0.88,-0.118182,0.531,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_document,inconsistent,text,icq,42,2000,1429,413,158,0.921,0.551574,0.6615,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_text,inconsistent,text,ciq,42,2000,397,1319,284,0.858,-0.537296,0.245,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_text,inconsistent,text,icq,42,2000,818,1020,162,0.919,-0.109902,0.3545,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1999,1,0,1.0,0.999,0.995,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1953,44,3,0.9985,0.955934,0.9,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_document,inconsistent,image,ciq,42,2000,1998,1,1,0.9995,0.998999,0.992,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_document,inconsistent,image,icq,42,2000,1644,356,0,1.0,0.644,0.9445,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_text,inconsistent,image,ciq,42,2000,2000,0,0,1.0,1.0,0.995,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_text,inconsistent,image,icq,42,2000,1953,45,2,0.999,0.954955,0.9,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,text,ciq,42,2000,824,1126,50,0.975,-0.154872,0.856,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,text,icq,42,2000,670,1313,17,0.9915,-0.324256,0.5155,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_document,inconsistent,text,ciq,42,2000,405,1378,217,0.8915,-0.545709,0.568,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_document,inconsistent,text,icq,42,2000,1232,654,114,0.943,0.306469,0.7195,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_text,inconsistent,text,ciq,42,2000,274,1518,208,0.896,-0.694196,0.2505,0
freeze_content_remove,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_text,inconsistent,text,icq,42,2000,684,1202,114,0.943,-0.274655,0.334,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1920,77,3,0.9985,0.922884,0.9505,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1991,9,0,1.0,0.991,0.9655,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_document,inconsistent,image,ciq,42,2000,1952,45,3,0.9985,0.954932,0.952,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_document,inconsistent,image,icq,42,2000,1973,27,0,1.0,0.973,0.9625,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_text,inconsistent,image,ciq,42,2000,1918,81,1,0.9995,0.918959,0.95,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_text,inconsistent,image,icq,42,2000,1990,10,0,1.0,0.99,0.966,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,inconsistent,text,ciq,42,2000,1481,426,93,0.9535,0.553225,0.708,0
freeze_content_remove,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,inconsistent,text,icq,42,2000,1839,148,13,0.9935,0.851032,0.9275,0
