label_1,label_2,model,dataset,split,prompt_format,input_type,target_modality,order,seed,n,correct,misled,neither,p_valid,selectivity
Alpha,Beta,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1000,530,470,0.765,0.30719
Alpha,Beta,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1935,17,48,0.976,0.982582
Beta,Alpha,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1402,127,471,0.7645,0.833878
Beta,Alpha,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1988,9,3,0.9985,0.990986
Dax,Wug,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,603,235,1162,0.419,0.439141
Dax,Wug,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1874,37,89,0.9555,0.961277
Wug,Dax,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,549,271,1180,0.41,0.339024
Wug,Dax,OpenGVLab/InternVL3-14B-hf,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1923,19,58,0.971,0.980433
Alpha,Beta,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,638,826,536,0.732,-0.128415
Alpha,Beta,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1926,35,39,0.9805,0.964304
Beta,Alpha,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1234,343,423,0.7885,0.564997
Beta,Alpha,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1979,5,16,0.992,0.99496
Dax,Wug,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,438,253,1309,0.3455,0.267728
Dax,Wug,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1893,30,77,0.9615,0.968799
Wug,Dax,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,632,278,1090,0.455,0.389011
Wug,Dax,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1934,12,54,0.973,0.987667
Alpha,Beta,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1519,44,437,0.7815,0.943698
