model,dataset,split,span_type,layer_idx,num_samples,within_image_cos,within_caption_cos,across_modality_cos,probe_cv_accuracy,probe_cv_accuracy_std,control_cv_accuracy,control_cv_accuracy_std
OpenGVLab/InternVL3-14B-hf,flickr30k,val,content,0,400,0.2807038395207627,0.056779427312706646,0.004827226147867623,1.0,0.0,0.5187265917602996,0.018026877750553866
OpenGVLab/InternVL3-14B-hf,mscoco,val,content,0,400,0.27457527569362095,0.06011801929769216,0.0039361507001071,0.9974984277172331,0.0017688880644905274,0.4962359081223659,0.020005093208495958
OpenGVLab/InternVL3-8B-hf,flickr30k,val,content,0,400,0.3014125154729475,0.08110803690844012,0.017539250675716902,0.9962499882665465,0.003058046832185936,0.5137516074831273,0.012265911405044634
OpenGVLab/InternVL3-8B-hf,mscoco,val,content,0,400,0.30038206050270483,0.08575569186219595,0.018463240413973108,0.9974984277172331,0.0017688880644905274,0.5162672599100748,0.010231375519703148
Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,val,content,0,400,0.2658862433293111,0.05537518398971635,0.00697113703910145,0.9962499882665465,0.003058046832185936,0.5075281837552683,0.017681381149503624
Qwen/Qwen2.5-VL-32B-Instruct,mscoco,val,content,0,400,0.2576882819962083,0.05803935020233045,0.007936784198938403,0.9975031210986267,0.0035311200059253397,0.495010935578647,0.016494179610240408
Qwen/Qwen2.5-VL-3B-Instruct,flickr30k,val,content,0,400,0.2627320574235199,0.0831333304052813,0.002064348419557791,0.9987468671679198,0.001772197446582839,0.47122487867609103,0.014292788194558498
Qwen/Qwen2.5-VL-3B-Instruct,mscoco,val,content,0,400,0.24218222780633988,0.08228923473516503,0.002223173750285059,0.9987515605493135,0.0017655600029626698,0.5074859433227262,0.01999716694212827
Qwen/Qwen2.5-VL-7B-Instruct,flickr30k,val,content,0,400,0.22611731980976305,0.08215927432391577,0.006466943677235395,0.9987468671679198,0.001772197446582839,0.48752029887452714,0.013010019360120332
Qwen/Qwen2.5-VL-7B-Instruct,mscoco,val,content,0,400,0.21063427847728394,0.08306285899235193,0.00594954439427238,0.9987468671679198,0.001772197446582839,0.5012484394506866,0.009216493795401647
google/gemma-3-12b-it,flickr30k,val,content,0,400,0.43941874288974847,0.14749753470408886,0.03580098858973361,1.0,0.0,0.4549623121474098,0.022648781299297805
google/gemma-3-12b-it,mscoco,val,content,0,400,0.455421404778808,0.15218954719098887,0.03703846185002476,1.0,0.0,0.48506566040569593,0.04077374808778466
google/gemma-3-27b-it,flickr30k,val,content,0,400,0.34711209903683576,0.14893677074359474,0.04409185068751685,1.0,0.0,0.44497010316052305,0.019240248979090706
google/gemma-3-27b-it,mscoco,val,content,0,400,0.36300844562979867,0.15262119460524173,0.04783652823907323,1.0,0.0,0.4862624726610534,0.021092342137032087
google/gemma-3-4b-it,flickr30k,val,content,0,400,0.4767893552660643,0.14208557615005282,0.04223652661998058,1.0,0.0,0.46373893535336475,0.008751164216339527
google/gemma-3-4b-it,mscoco,val,content,0,400,0.4906741612417656,0.14573926327409303,0.044553105329012035,1.0,0.0,0.5075469572808425,0.0314401285696976
