model,dataset,intervention,layer_idx,layer_depth,split,seed,arm,target_modality,n,correct,misled,neither,p_valid,selectivity
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,42,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,42,intervention,image,100,54,8,38,0.62,0.741935
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,42,intervention,text,100,15,41,44,0.56,-0.464286
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,43,intervention,image,100,65,20,15,0.85,0.529412
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,43,intervention,text,100,46,15,39,0.61,0.508197
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,44,intervention,image,100,13,39,48,0.52,-0.5
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,0,0.0,val,44,intervention,text,100,8,48,44,0.56,-0.714286
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,42,intervention,image,100,34,39,27,0.73,-0.068493
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,42,intervention,text,100,0,95,5,0.95,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,43,intervention,image,100,37,40,23,0.77,-0.038961
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,43,intervention,text,100,5,82,13,0.87,-0.885057
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,44,intervention,image,100,38,36,26,0.74,0.027027
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,6,0.125,val,44,intervention,text,100,1,93,6,0.94,-0.978723
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,42,intervention,image,100,58,20,22,0.78,0.487179
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,42,intervention,text,100,6,78,16,0.84,-0.857143
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,43,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,43,intervention,image,100,46,21,33,0.67,0.373134
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,43,intervention,text,100,9,68,23,0.77,-0.766234
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,44,intervention,image,100,55,27,18,0.82,0.341463
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,12,0.25,val,44,intervention,text,100,2,90,8,0.92,-0.956522
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,42,intervention,image,100,87,13,0,1.0,0.74
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,42,intervention,text,100,0,98,2,0.98,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,43,intervention,image,100,89,10,1,0.99,0.79798
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,43,intervention,text,100,1,96,3,0.97,-0.979381
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,44,intervention,image,100,85,12,3,0.97,0.752577
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,18,0.375,val,44,intervention,text,100,0,99,1,0.99,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,42,intervention,image,100,78,4,18,0.82,0.902439
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,42,intervention,text,100,1,82,17,0.83,-0.975904
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,43,intervention,image,100,75,6,19,0.81,0.851852
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,43,intervention,text,100,0,83,17,0.83,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,44,intervention,image,100,83,6,11,0.89,0.865169
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,24,0.5,val,44,intervention,text,100,0,84,16,0.84,-1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,42,intervention,image,100,53,7,40,0.6,0.766667
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,42,intervention,text,100,8,25,67,0.33,-0.515152
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,43,intervention,image,100,49,8,43,0.57,0.719298
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,43,intervention,text,100,8,21,71,0.29,-0.448276
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,44,intervention,image,100,51,8,41,0.59,0.728814
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,29,0.625,val,44,intervention,text,100,8,19,73,0.27,-0.407407
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,42,intervention,image,100,91,2,7,0.93,0.956989
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,42,intervention,text,100,15,59,26,0.74,-0.594595
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,43,intervention,image,100,94,0,6,0.94,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,43,intervention,text,100,15,62,23,0.77,-0.61039
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,44,intervention,image,100,93,1,6,0.94,0.978723
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,35,0.75,val,44,intervention,text,100,17,64,19,0.81,-0.580247
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,42,intervention,image,100,95,2,3,0.97,0.958763
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_first,41,0.875,val,42,intervention,text,100,51,37,12,0.88,0.159091
